"id","account","text","text2"
"3807","@BatkhishigJants","Кристиано Рональдо энэ тахалтай тэмцэхийн тулд хувийн бүх сүлжээ зочид буудлаа эмнэлэг болгож ашиглуулна гэв. Нэмээд эмч нарын цалинг хувиасаа өгнө. Өөрийн хүч чадлаар баяжсан хүний бяр юмдагуу даа...","Кристиано Рональдо э"
"3807","@Mongolsonom1","Кристиано Рональдо өөрийн хувьцаагаар эзэмшдэг зочид буудлуудаа төлбөргүй эмчлэх эмнэлэг болгож.Бас эмч нарын цалинг хувиасаа санхүүжүүлнэ гэнэ.
Харж хандах хүнгүй асрамжийн хөгшчүүд,хүүхдүүд хүртэл мөнгөний гахайны бутархайгаа өгч байхад толгой баячуудын сураг дуулдахгүй юм.","Кристиано Рональдо ө"
"3807","@itsjustfifa","Coronavirus outbreak, Cristiano Ronaldo transforms his Portuguese hotel network into temporary hospitals.  Ronaldo will pay the salaries of all doctors and other employees in these facilities, and the treatment will be free

Ronaldo❤️
#CristianoRonaldo
#CoronaVirusUpdates","Coronavirus outbreak"
"3807","@RMadridBabe","Cristiano Ronaldo will transform his chain of hotels into hospitals where the Coronavirus infected patients in Portugal will be able to be treated completely free of charge.

CR7 will also cover the salaries of all the doctors and workers.

Incredible gesture from the King. 👏❤","Cristiano Ronaldo wi"
"1022","@LtGen_Roy","MoreLt Gen Rameshwar Roy Retweeted China.org.cn
Japan's Nobel prize winning Professor of Medicine, Professor Dr Tasuku Honjo, created a sensation  today by saying that the Coronavirus is not natural. He said,”If what I am saying today is proved false now or even after my death, the government can withdraw my Nobel Prize”.","MoreLt Gen Rameshwar"
"1022","@SamEba__","Japan's Nobel prize winning Professor of Medicine, Professor Dr Tasuku Honjo, created a sensation  today by saying that the Coronavirus is not natural.

""If it is natural, it wouldn't have adversely affected the entire world like this. Because, as per nature, temperature is","Japan's Nobel prize "
"1022","@Gen_Buhar","BOMBSHELL! JAPAN'S NOBEL PRIZE WINNING PROFESSOR CLAIMS  COVID19 IS LAB MANUFACTURED IN CHINA

Japan's Nobel prize winning Professor of Medicine, Professor Dr Tasuku Honjo, created a sensation  today by saying that the Coronavirus is not natural.","BOMBSHELL! JAPAN'S N"
"1265","@mas__piyuuu","Pemerintah Italia Meminta Dibacakan Al-Quran dan Do'a Untuk Melawan Wabah Corona 

Berita: https://bit.ly/3etb18E","Pemerintah Italia Me"
"1534","@zixuan728","今日刷屏
阿尔巴尼亚电视台在肺炎期间，为了让民众不乱跑呆在家里看电视📺 ，女主播倾情奉献","今日刷屏
阿尔巴尼亚电视台在肺炎期间，为"
"1768","@binsbirowo","Itali bertakbir..
Allahu Akbar
Allahu Akbar
Allahu Akbar
Yaa Allah please help us..","Itali bertakbir..
Al"
